episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,1,5000,5000,5000,False,0,1,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-21-33,1666794093,8.243436336517334,8.243436336517334,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,8.243436336517334,5000,1,8.816381454467773,[],[],5833.205,857.162,0.159,31536120.301,2385.168,2096.289,8.127,5000,5000,5000,5000,5000,31.849999999999998,85.02499999999999,500.0,0.5,4.999999873689376e-05,7.526625,-0.0008359866,7.540645,-0.007336242,0.0013290942,1.384892,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,10000,5000,10000,False,1,2,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-21-41,1666794101,7.6845457553863525,15.927982091903687,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,15.927982091903687,10000,2,8.816381454467773,[-7201.0],[7201],6929.247,721.579,0.168,29810262.971,2236.665,2235.471,6.638,10000,10000,10000,5000,10000,36.10909090909091,85.39999999999999,500.0,0.25,4.999999873689376e-05,6.5833387,-0.00016406839,6.596933,-0.01958048,0.0015978194,1.3830239,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,15000,5000,15000,False,2,3,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-21-49,1666794109,7.698040962219238,23.626023054122925,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,23.626023054122925,15000,3,8.816381454467773,"[-7201.0, -7201.0]","[7201, 7201]",7202.143,694.238,0.167,29959314.286,2184.656,2288.69,6.009,15000,15000,15000,5000,15000,36.30909090909091,85.32727272727271,500.0,0.125,4.999999873689376e-05,6.1595793,-0.0010368543,6.1742187,-0.028363757,0.0016372806,1.3807821,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,0,1,20000,5000,20000,False,2,4,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-21-57,1666794117,7.724732160568237,31.350755214691162,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,31.350755214691162,20000,4,8.816381454467773,"[-7201.0, -7201.0]","[7201, 7201]",7332.786,681.869,0.166,30088263.989,2166.934,2307.408,5.675,20000,20000,20000,5000,20000,36.57272727272727,85.36363636363636,500.0,0.0625,4.999999873689376e-05,5.681056,-0.0001454501,5.6949635,-0.08778759,0.0012640916,1.3841628,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,25000,5000,25000,False,3,5,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-22-04,1666794124,7.7439656257629395,39.0947208404541,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,39.0947208404541,25000,5,8.816381454467773,"[-7201.0, -7201.0, -7201.0]","[7201, 7201, 7201]",7416.239,674.196,0.166,30062385.321,2161.016,2313.727,5.461,25000,25000,25000,5000,25000,36.43636363636364,85.04545454545455,500.0,0.03125,4.999999873689376e-05,5.286189,-0.000683734,5.3006544,-0.08992584,0.0016100542,1.383292,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,30000,5000,30000,False,4,6,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-22-12,1666794132,7.76170539855957,46.85642623901367,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,46.85642623901367,30000,6,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201]",7484.117,668.081,0.166,30124280.584,2152.332,2323.062,5.367,30000,30000,30000,5000,30000,39.925000000000004,84.15,500.0,0.015625,4.999999873689376e-05,5.0871887,-0.0012757055,5.102208,-0.038296774,0.002048318,1.3775625,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,0,1,35000,5000,35000,False,4,7,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-22-20,1666794140,7.730217933654785,54.58664417266846,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,54.58664417266846,35000,7,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201]",7521.795,664.735,0.166,30100602.83,2149.218,2326.428,5.306,35000,35000,35000,5000,35000,36.32727272727273,84.17272727272729,500.0,0.0078125,4.999999873689376e-05,4.5737114,-0.0006295885,4.588108,-0.36510006,0.0018452988,1.3780951,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,40000,5000,40000,False,5,8,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-22-28,1666794148,7.983218431472778,62.569862604141235,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,62.569862604141235,40000,8,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201]",7584.959,659.199,0.168,29815560.69,2145.989,2329.928,5.193,40000,40000,40000,5000,40000,37.20909090909091,84.42727272727272,500.0,0.00390625,4.999999873689376e-05,4.691434,-0.0003045365,4.7054396,-0.084633656,0.0020689822,1.3709034,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,45000,5000,45000,False,6,9,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-22-36,1666794156,7.640682697296143,70.21054530143738,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,70.21054530143738,45000,9,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201]",7580.787,659.562,0.17,29491200.0,2157.461,2317.539,5.208,45000,45000,45000,5000,45000,39.75454545454545,84.52727272727272,500.0,0.001953125,4.999999873689376e-05,3.7622693,-0.0019176931,3.777889,-0.1204995,0.0015716759,1.3705176,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,0,1,50000,5000,50000,False,6,10,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-22-43,1666794163,7.6763739585876465,77.88691926002502,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,77.88691926002502,50000,10,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201]",7609.055,657.112,0.169,29641724.382,2152.938,2322.407,5.133,50000,50000,50000,5000,50000,35.872727272727275,84.41818181818182,500.0,0.0009765625,4.999999873689376e-05,3.5657182,0.00024132994,3.579132,-0.44042575,0.0017724797,1.3657368,0.009999999776482582
