episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
432.0,423.0,427.5,1801.0,2,1,5000,5000,5000,False,2,1,9dc54_00000,84eb630b6e3944b386313dab6c3f1615,2022-10-27_16-06-12,1666883172,99.45103478431702,99.45103478431702,130319,pl-gonzal.cis.strath.ac.uk,172.17.249.231,99.45103478431702,5000,1,13.524956941604614,"[432.0, 423.0]","[1801, 1801]",0.6355016476105414,2.2947265252759994,0.18406062096601677,0.2525375738450943,15.25668615437679,94219.511,53.068,0.271,18444608.619,5300.833,943.248,15.589,5000,5000,5000,5000,5000,33.895,81.20357142857142,500.0,0.5,4.999999873689376e-05,0.054590646,-0.0049896627,0.07254641,0.06293013,0.0017532101,1.3842707,0.009999999776482582
841.0,329.0,512.2,1801.0,3,1,10000,5000,10000,False,5,2,9dc54_00000,84eb630b6e3944b386313dab6c3f1615,2022-10-27_16-07-51,1666883271,99.26578950881958,198.7168242931366,130319,pl-gonzal.cis.strath.ac.uk,172.17.249.231,198.7168242931366,10000,2,13.524956941604614,"[432.0, 423.0, 841.0, 329.0, 536.0]","[1801, 1801, 1801, 1801, 1801]",0.6430887006676055,2.2972364754582517,0.18337846404302707,0.25512455564292236,15.280080977042484,97126.268,51.479,0.273,18291774.967,4957.482,1008.576,11.222,10000,10000,10000,5000,10000,27.6,81.48985507246375,500.0,0.25,4.999999873689376e-05,0.042597264,-0.0040543224,0.059999514,0.15988964,0.0017715788,1.3790824,0.009999999776482582
1039.0,215.0,595.75,1801.0,3,1,15000,5000,15000,False,8,3,9dc54_00000,84eb630b6e3944b386313dab6c3f1615,2022-10-27_16-09-30,1666883370,99.17838454246521,297.8952088356018,130319,pl-gonzal.cis.strath.ac.uk,172.17.249.231,297.8952088356018,15000,3,13.524956941604614,"[432.0, 423.0, 841.0, 329.0, 536.0, 215.0, 1039.0, 951.0]","[1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801]",0.6395257728116954,2.2867492940307375,0.18356306804091993,0.2548105302342999,15.317289361863304,97944.714,51.049,0.272,18374579.439,4731.771,1056.687,10.138,15000,15000,15000,5000,15000,31.107194244604315,81.46906474820145,500.0,0.125,4.999999873689376e-05,0.056881715,-0.004518352,0.07485964,0.2443825,0.0019522138,1.3703609,0.009999999776482582
1039.0,215.0,618.4545454545455,1801.0,3,1,20000,5000,20000,False,11,4,9dc54_00000,84eb630b6e3944b386313dab6c3f1615,2022-10-27_16-11-14,1666883474,103.47510123252869,401.3703100681305,130319,pl-gonzal.cis.strath.ac.uk,172.17.249.231,401.3703100681305,20000,4,13.524956941604614,"[432.0, 423.0, 841.0, 329.0, 536.0, 215.0, 1039.0, 951.0, 939.0, 649.0, 449.0]","[1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801]",0.6408117594422221,2.2920413154115504,0.18479486497536346,0.2560120696352827,15.37736521254345,99263.89,50.371,0.451,11084312.896,4694.411,1065.096,10.557,20000,20000,20000,5000,20000,31.24652777777778,81.34861111111111,500.0,0.0625,4.999999873689376e-05,0.073336914,-0.005910039,0.09266679,0.25949794,0.002624834,1.3583896,0.009999999776482582
1039.0,215.0,661.0769230769231,1801.0,2,1,25000,5000,25000,False,13,5,9dc54_00000,84eb630b6e3944b386313dab6c3f1615,2022-10-27_16-12-52,1666883572,97.60539603233337,498.97570610046387,130319,pl-gonzal.cis.strath.ac.uk,172.17.249.231,498.97570610046387,25000,5,13.524956941604614,"[432.0, 423.0, 841.0, 329.0, 536.0, 215.0, 1039.0, 951.0, 939.0, 649.0, 449.0, 847.0, 944.0]","[1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801]",0.6411342807999687,2.2951736039064503,0.18487652539895302,0.25621549492324086,15.38877612681679,99022.606,50.494,0.418,11975513.933,4593.628,1088.464,10.667,25000,25000,25000,5000,25000,26.995588235294115,81.00147058823529,500.0,0.03125,4.999999873689376e-05,0.07018143,-0.004245301,0.087811604,0.2869734,0.0022940629,1.3456562,0.009999999776482582
1344.0,215.0,721.625,1801.0,3,1,30000,5000,30000,False,16,6,9dc54_00000,84eb630b6e3944b386313dab6c3f1615,2022-10-27_16-14-30,1666883670,98.76928687095642,597.7449929714203,130319,pl-gonzal.cis.strath.ac.uk,172.17.249.231,597.7449929714203,30000,6,13.524956941604614,"[432.0, 423.0, 841.0, 329.0, 536.0, 215.0, 1039.0, 951.0, 939.0, 649.0, 449.0, 847.0, 944.0, 650.0, 1344.0, 958.0]","[1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801]",0.6404655755328258,2.2971047009959267,0.18474136753884124,0.25616948628713093,15.399660230602379,98986.311,50.512,0.402,12442313.853,4530.185,1103.708,10.269,30000,30000,30000,5000,30000,27.065942028985507,81.01159420289855,500.0,0.015625,4.999999873689376e-05,0.0794967,-0.0049634445,0.097648084,0.31845582,0.0024465339,1.3226166,0.009999999776482582
1460.0,215.0,784.6842105263158,1801.0,3,1,35000,5000,35000,False,19,7,9dc54_00000,84eb630b6e3944b386313dab6c3f1615,2022-10-27_16-16-10,1666883770,99.31495809555054,697.0599510669708,130319,pl-gonzal.cis.strath.ac.uk,172.17.249.231,697.0599510669708,35000,7,13.524956941604614,"[432.0, 423.0, 841.0, 329.0, 536.0, 215.0, 1039.0, 951.0, 939.0, 649.0, 449.0, 847.0, 944.0, 650.0, 1344.0, 958.0, 1148.0, 1460.0, 755.0]","[1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801]",0.6407956865317435,2.2989600020002894,0.18455671007763874,0.2562135641542614,15.406372511181281,99057.258,50.476,0.392,12739793.457,4467.285,1119.248,9.858,35000,35000,35000,5000,35000,28.0768115942029,80.57608695652173,500.0,0.0078125,4.999999873689376e-05,0.093962364,-0.0041094422,0.111030914,0.2995463,0.0024096423,1.2977942,0.009999999776482582
1460.0,215.0,853.5454545454545,1801.0,3,1,40000,5000,40000,False,22,8,9dc54_00000,84eb630b6e3944b386313dab6c3f1615,2022-10-27_16-17-50,1666883870,100.05605101585388,797.1160020828247,130319,pl-gonzal.cis.strath.ac.uk,172.17.249.231,797.1160020828247,40000,8,13.524956941604614,"[432.0, 423.0, 841.0, 329.0, 536.0, 215.0, 1039.0, 951.0, 939.0, 649.0, 449.0, 847.0, 944.0, 650.0, 1344.0, 958.0, 1148.0, 1460.0, 755.0, 1449.0, 1154.0, 1266.0]","[1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801]",0.6420047578139054,2.3019967980449474,0.18445125721312475,0.2564029748112454,15.413374146884507,99261.071,50.372,0.375,13332180.547,4348.229,1149.893,10.033,40000,40000,40000,5000,40000,27.602877697841723,79.32877697841727,500.0,0.00390625,4.999999873689376e-05,0.09992143,-0.003782034,0.11631843,0.35395133,0.0024885559,1.2624674,0.009999999776482582
1460.0,215.0,882.4166666666666,1801.0,2,1,45000,5000,45000,False,24,9,9dc54_00000,84eb630b6e3944b386313dab6c3f1615,2022-10-27_16-19-26,1666883966,96.34390616416931,893.459908246994,130319,pl-gonzal.cis.strath.ac.uk,172.17.249.231,893.459908246994,45000,9,13.524956941604614,"[432.0, 423.0, 841.0, 329.0, 536.0, 215.0, 1039.0, 951.0, 939.0, 649.0, 449.0, 847.0, 944.0, 650.0, 1344.0, 958.0, 1148.0, 1460.0, 755.0, 1449.0, 1154.0, 1266.0, 1450.0, 950.0]","[1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801]",0.6431246060413024,2.305315257366285,0.1842270945510065,0.2564952326004284,15.409760948984546,98890.804,50.561,0.359,13923257.598,4308.537,1160.487,9.792,45000,45000,45000,5000,45000,24.3455223880597,78.67462686567166,500.0,0.001953125,4.999999873689376e-05,0.08006713,-0.0048337295,0.097146675,0.34632984,0.0029512525,1.2251569,0.009999999776482582
1557.0,215.0,920.7037037037037,1801.0,3,1,50000,5000,50000,False,27,10,9dc54_00000,84eb630b6e3944b386313dab6c3f1615,2022-10-27_16-21-02,1666884062,95.96327424049377,989.4231824874878,130319,pl-gonzal.cis.strath.ac.uk,172.17.249.231,989.4231824874878,50000,10,13.524956941604614,"[432.0, 423.0, 841.0, 329.0, 536.0, 215.0, 1039.0, 951.0, 939.0, 649.0, 449.0, 847.0, 944.0, 650.0, 1344.0, 958.0, 1148.0, 1460.0, 755.0, 1449.0, 1154.0, 1266.0, 1450.0, 950.0, 959.0, 1557.0, 1165.0]","[1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801, 1801]",0.645173126993073,2.308881054611011,0.18379603672076042,0.2566409808847476,15.399738915255327,98644.846,50.687,0.358,13968906.947,4233.434,1181.074,9.495,50000,50000,50000,5000,50000,25.528358208955225,78.68432835820896,500.0,0.0009765625,4.999999873689376e-05,0.102731034,-0.0035273351,0.118389264,0.4219973,0.001757073,1.2132609,0.009999999776482582
