Planner |   Date and Time   | Goals Sim
V_0 | 2022-07-04 19:14:17 2001256404
V_1 | 2022-07-04 19:14:17 1230923769
V_0 | 2022-07-12 11:37:40 1478237517
V_1 | 2022-07-12 11:37:41 116576269
V_0 | 2022-07-12 11:38:32 2119057753
V_1 | 2022-07-12 11:38:32 1140980752
V_0 | 2022-07-12 11:42:36 428516207
V_1 | 2022-07-12 11:42:36 214291310
V_0 | 2022-07-12 19:14:26 2444008562
V_0 | 2022-07-12 19:14:37 2928731274
V_1 | 2022-07-12 19:14:38 3837413245
V_2 | 2022-07-12 19:14:38 3930591257
V_3 | 2022-07-12 19:14:38 2521489816
